dist_band,listing_count,median_price,mean_price,p75
0-2 km,794,151.0,187.0,224.0
2-5 km,4592,108.0,255.0,163.0
5-10 km,2906,96.0,133.0,147.0
10-20 km,893,86.0,137.0,128.0
20+ km,79,114.0,482.0,164.0
