neighbourhood_cleansed,listing_count,median_price,mean_price,ci_lower,ci_upper
Schmöckwitz/Karolinenhof/Rauchfangswerder,27,122.0,444.0,110.0,777.0
Schöneberg-Nord,212,85.0,113.0,102.0,123.0
Schöneberg-Süd,163,103.0,140.0,98.0,182.0
Schönholz/Wilhelmsruh/Rosenthal,21,105.0,585.0,-397.0,1567.0
Spandau Mitte,16,120.0,153.0,102.0,204.0
Südliche Friedrichstadt,180,125.0,145.0,129.0,160.0
Teltower Damm,27,85.0,95.0,78.0,113.0
Tempelhof,144,102.0,145.0,118.0,172.0
Tempelhofer Vorstadt,420,98.0,124.0,110.0,138.0
Tiergarten Süd,115,139.0,152.0,136.0,168.0
Volkspark Wilmersdorf,87,89.0,221.0,-5.0,448.0
Wedding Zentrum,124,91.0,117.0,100.0,135.0
Weißensee,106,94.0,123.0,107.0,139.0
West 4,16,79.0,73.0,60.0,86.0
Westend,64,90.0,131.0,101.0,162.0
Wiesbadener Straße,25,132.0,144.0,90.0,199.0
Wilhelmstadt,17,120.0,130.0,90.0,170.0
Zehlendorf  Nord,49,84.0,119.0,80.0,159.0
Zehlendorf  Südwest,29,102.0,117.0,97.0,137.0
nördliche Luisenstadt,147,97.0,121.0,107.0,134.0
südliche Luisenstadt,242,101.0,126.0,114.0,138.0
