month,median_min_nights,mean_min_nights,pct_longstay
2025-09-01,5.0,39.67,40.7
2025-10-01,5.0,40.01,40.96
2025-11-01,5.0,40.06,41.02
2025-12-01,5.0,40.11,41.03
2026-01-01,5.0,40.15,41.03
2026-02-01,5.0,40.09,41.03
2026-03-01,5.0,40.07,41.03
2026-04-01,5.0,40.1,41.02
2026-05-01,5.0,40.18,41.02
2026-06-01,5.0,40.11,41.03
2026-07-01,5.0,40.08,41.02
2026-08-01,5.0,40.06,40.99
2026-09-01,5.0,40.1,41.02
