response_rate_band,listing_count,superhost_rate,median_rating,median_price,median_occupancy
0-50%,574,0.014134275618374558,4.88,74.0,0.27
51-80%,886,0.06433408577878104,4.88,104.0,0.36
81-95%,977,0.23651452282157676,4.73,104.0,0.27
96-100%,6819,0.4622149351617231,4.86,112.0,0.47
