room_type,listing_count,median_price,mean_price,p25,p75,p95,ci_lower,ci_upper
hotel_room,101,198.0,5532.0,164.0,270.0,50000.0,2637.0,8428.0
entire_home,6806,120.0,162.0,85.0,175.0,319.0,153.0,171.0
private_room,2260,68.0,86.0,50.0,91.0,196.0,83.0,90.0
shared_room,97,38.0,72.0,31.0,51.0,125.0,25.0,118.0
