dimension,n_rated,null_count,null_pct,mean,median,std,p10,p25,p75,p90,min,max
Rating,10960,3314,23.2,4.7547,4.86,0.3623,4.4,4.67,5.0,5.0,0.0,5.0
Accuracy,10958,3316,23.2,4.7941,4.89,0.3451,4.5,4.75,5.0,5.0,0.0,5.0
Cleanliness,10960,3314,23.2,4.698,4.81,0.4045,4.25,4.59,4.97,5.0,0.0,5.0
Checkin,10957,3317,23.2,4.8268,4.92,0.3245,4.58,4.79,5.0,5.0,0.0,5.0
Communication,10959,3315,23.2,4.8206,4.93,0.3669,4.55,4.8,5.0,5.0,0.0,5.0
Location,10957,3317,23.2,4.7611,4.84,0.3287,4.46,4.67,5.0,5.0,0.0,5.0
Value,10956,3318,23.2,4.6472,4.73,0.4045,4.25,4.54,4.88,5.0,0.0,5.0
number_of_reviews (count),14274,0,0.0,44.5195,8.0,100.5387,0.0,1.0,40.0,130.7,0.0,2895.0
reviews_per_month_calc (rate),10960,3314,23.2,1.0307,0.25,1.9423,0.0,0.0,1.3333,3.1667,0.0,57.25
