block_size,id,host_id,neighbourhood_cleansed,name,latitude,longitude,room_type,property_type
5,50005298,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51384,-0.127,Private room,Private room in rental unit
5,50329764,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51374,-0.12733,Private room,Private room in rental unit
5,50345462,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51405,-0.12713,Private room,Private room in rental unit
5,50543997,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51383,-0.12714,Private room,Private room in rental unit
5,659416577510610712,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.5189,-0.10655,Entire home/apt,Entire condo
5,670669586187846557,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51933,-0.10684,Entire home/apt,Entire serviced apartment
5,670867052228926303,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51917,-0.10672,Entire home/apt,Entire serviced apartment
5,671662210364514167,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.5193,-0.10653,Entire home/apt,Entire serviced apartment
5,674961280572891401,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51909,-0.107,Entire home/apt,Entire serviced apartment
5,1173832991713755661,443083912,Haringey,The Roundway Styles & Cosy Private Room in London,51.6027683,-0.0876312,Private room,Private room in rental unit
5,1188211774624076787,443083912,Haringey,The Roundway Styles & Cosy Private Room in London,51.6027683,-0.0876312,Private room,Private room in serviced apartment
5,1189856220876840957,443083912,Haringey,The Roundway Styles & Cosy Private Room in London,51.6027683,-0.0876312,Private room,Private room in serviced apartment
5,1189885858575785283,443083912,Haringey,The Roundway Styles & Cosy Private Room in London,51.6027683,-0.0876312,Private room,Private room in serviced apartment
5,1191966484321065704,443083912,Haringey,The Roundway Styles & Cosy Private Room in London,51.6027683,-0.0876312,Private room,Private room in serviced apartment
5,1348606056349039815,171468763,Wandsworth,Hotel Like Stay - next to St George’s Hospital,51.42785,-0.1774,Private room,Private room in home
5,1348656481972337675,171468763,Wandsworth,Hotel Like Stay - next to St George’s Hospital,51.42785,-0.1774,Private room,Private room in home
5,1348678056764971908,171468763,Wandsworth,Hotel Like Stay - next to St George’s Hospital,51.42785,-0.1774,Private room,Private room in home
5,1348697184428768199,171468763,Wandsworth,Hotel Like Stay - next to St George’s Hospital,51.42785,-0.1774,Private room,Private room in home
5,1348714891628643477,171468763,Wandsworth,Hotel Like Stay - next to St George’s Hospital,51.42785,-0.1774,Private room,Private room in home
5,43735112,338455898,Westminster,"Luxury Serviced Apartment with Daily Room Clean, S",51.51917599999999,-0.1474575,Entire home/apt,Entire rental unit
5,43735120,338455898,Westminster,"Luxury Serviced Apartment with Daily Room Clean, S",51.5191764831543,-0.1474580019712448,Entire home/apt,Entire rental unit
5,43735130,338455898,Westminster,"Luxury Serviced Apartment with Daily Room Clean, S",51.5191764831543,-0.1474580019712448,Entire home/apt,Entire rental unit
5,43735134,338455898,Westminster,"Luxury Serviced Apartment with Daily Room Clean, S",51.51917599999999,-0.1474575,Entire home/apt,Entire rental unit
5,43735147,338455898,Westminster,"Luxury Serviced Apartment with Daily Room Clean, S",51.5191764831543,-0.1474580019712448,Entire home/apt,Entire rental unit
4,46944701,74167394,Camden,"European Hotel, Kings Cross, Single en suite",51.52986,-0.12096,Private room,Private room in rental unit
4,47367125,74167394,Camden,"European Hotel, Kings Cross, single en suite",51.53001,-0.12088,Private room,Private room in rental unit
4,47765195,74167394,Camden,"European Hotel, Kings Cross, Single en suite",51.52962,-0.121,Private room,Private room in rental unit
4,47765249,74167394,Camden,"European Hotel, Kings Cross, Single en suite",51.53009,-0.12096,Private room,Private room in rental unit
4,713842184279396014,268416645,Camden,Private Double Room in Warren Street,51.52536,-0.13786,Private room,Private room in townhouse
4,713887371351169643,268416645,Camden,Private Double Room in Warren Street,51.52522,-0.13761,Private room,Private room in townhouse
4,718999967308688553,268416645,Camden,Private Double Room in Warren Street,51.52497,-0.13792,Private room,Private room in townhouse
4,719021365925621111,268416645,Camden,Private Double Room in Warren Street,51.5252,-0.13841,Private room,Private room in townhouse
4,1470941012401698845,314162972,Camden,"Blueground | Fitzrovia, view, nr British Museum",51.51978864045723,-0.1374187858964992,Entire home/apt,Entire rental unit
4,1470948570092057831,314162972,Camden,"Blueground | Fitzrovia, view, nr British Museum",51.5198624,-0.1373752,Entire home/apt,Entire rental unit
4,1471598329601857029,314162972,Camden,"Blueground | Fitzrovia, view, nr British Museum",51.5198624,-0.1373752,Entire home/apt,Entire rental unit
4,1471598676190689070,314162972,Camden,"Blueground | Fitzrovia, view, nr British Museum",51.5198624,-0.1373752,Entire home/apt,Entire rental unit
4,568332807168885314,446421145,Camden,Spacious Balcony Apartment in Zone 1 near Holborn,51.52119,-0.10654,Entire home/apt,Entire serviced apartment
4,657800033827453944,446421145,Camden,Spacious Balcony Apartment in Zone 1 near Holborn,51.5207,-0.10699,Entire home/apt,Entire serviced apartment
4,943899286091559246,446421145,Camden,Spacious Balcony Apartment in Zone 1 near Holborn,51.52054030906647,-0.1066394920437512,Entire home/apt,Entire rental unit
4,943940760610693374,446421145,Camden,Spacious Balcony Apartment in Zone 1 near Holborn,51.520870308900456,-0.1069902888053715,Entire home/apt,Entire rental unit
4,647624837202476313,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51911,-0.10839,Entire home/apt,Entire condo
4,674572614484744740,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51908,-0.10806,Entire home/apt,Entire serviced apartment
4,694889455442181219,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51926,-0.10831,Entire home/apt,Entire serviced apartment
4,937572856948155587,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51886084361916,-0.1078727199947532,Entire home/apt,Entire rental unit
4,1151996861487851340,314162972,Kensington and Chelsea,"Blueground | Kensington, near Shops, Food & Park",51.5002499,-0.2114217,Entire home/apt,Entire rental unit
4,1151997150517120090,314162972,Kensington and Chelsea,"Blueground | Kensington, near Shops, Food & Park",51.5002499,-0.2114217,Entire home/apt,Entire rental unit
4,1151997356296441311,314162972,Kensington and Chelsea,"Blueground | Kensington, near Shops, Food & Park",51.5002499,-0.2114217,Entire home/apt,Entire rental unit
4,1152849977305191941,314162972,Kensington and Chelsea,"Blueground | Kensington, near Shops, Food & Park",51.5002499,-0.2114217,Entire home/apt,Entire rental unit
4,1481820216794432106,314162972,Lambeth,"Blueground | Nine Elms, balcony, nr Battersea Park",51.48155970000001,-0.1280855,Entire home/apt,Entire rental unit
4,1481835831760757051,314162972,Lambeth,"Blueground | Nine Elms, balcony, nr Battersea Park",51.48155970000001,-0.1280855,Entire home/apt,Entire rental unit
4,1481842862715196484,314162972,Lambeth,"Blueground | Nine Elms, balcony, nr Battersea Park",51.48155970000001,-0.1280855,Entire home/apt,Entire rental unit
4,1481843169524064880,314162972,Lambeth,"Blueground | Nine Elms, balcony, nr Battersea Park",51.48155970000001,-0.1280855,Entire home/apt,Entire rental unit
4,636067738039764292,314162972,Lambeth,"Blueground | Waterloo, New build, terrace",51.500575,-0.1133351,Entire home/apt,Entire rental unit
4,636067953675133279,314162972,Lambeth,"Blueground | Waterloo, New build, terrace",51.500575,-0.1133351,Entire home/apt,Entire rental unit
4,638161020702287384,314162972,Lambeth,"Blueground | Waterloo, New build, terrace",51.500575,-0.1133351,Entire home/apt,Entire rental unit
4,638161250845479503,314162972,Lambeth,"Blueground | Waterloo, New build, terrace",51.500575,-0.1133351,Entire home/apt,Entire rental unit
