column,london_dtype,london_null_pct,london_cardinality,london_num_min,london_num_max,london_num_mean,amsterdam_dtype,amsterdam_null_pct,amsterdam_cardinality,amsterdam_num_min,amsterdam_num_max,amsterdam_num_mean,presence,null_rate_diverges,dtype_mismatch
number_of_reviews,int64,0.0,360,0.0,1142.0,84.41,int64,0.0,460,0.0,1445.0,119.05,both,False,False
number_of_reviews_l30d,int64,0.0,9,0.0,8.0,0.41,int64,0.0,12,0.0,15.0,0.79,both,False,False
number_of_reviews_ltm,int64,0.0,73,0.0,101.0,5.84,int64,0.0,100,0.0,136.0,10.79,both,False,False
number_of_reviews_ly,int64,0.0,76,0.0,100.0,6.42,int64,0.0,105,0.0,209.0,11.72,both,False,False
picture_url,str,0.0,2000,,,,str,0.0,2000,,,,both,False,False
price,str,42.5,305,20.0,4600.0,152.67,str,49.8,373,49.0,10000.0,249.92,both,False,False
property_type,str,0.0,35,,,,str,0.0,42,,,,both,False,False
review_scores_accuracy,float64,12.2,93,1.0,5.0,4.79,float64,1.2,75,2.5,5.0,4.86,both,True,False
review_scores_checkin,float64,12.2,73,1.0,5.0,4.86,float64,1.2,67,2.0,5.0,4.9,both,True,False
review_scores_cleanliness,float64,12.2,122,1.0,5.0,4.71,float64,1.3,109,1.0,5.0,4.77,both,True,False
review_scores_communication,float64,12.2,74,1.0,5.0,4.88,float64,1.2,58,2.0,5.0,4.92,both,True,False
review_scores_location,float64,12.2,96,3.0,5.0,4.74,float64,1.2,92,3.0,5.0,4.78,both,True,False
review_scores_rating,float64,12.0,96,0.0,5.0,4.75,float64,1.2,81,2.5,5.0,4.83,both,True,False
review_scores_value,float64,12.2,98,1.0,5.0,4.69,float64,1.2,98,2.0,5.0,4.67,both,True,False
reviews_per_month,float64,12.0,283,0.01,8.21,0.69,float64,1.2,401,0.01,9.28,1.0,both,True,False
room_type,str,0.0,4,,,,str,0.0,4,,,,both,False,False
scrape_id,int64,0.0,1,20250914034649.0,20250914034649.0,20250914034649.0,int64,0.0,1,20250911031321.0,20250911031321.0,20250911031321.0,both,False,False
source,str,0.0,2,,,,str,0.0,2,,,,both,False,False
