host_id,listing_count,listing_share,cumulative_share,host_pct
446820235,500,0.005161503442722796,0.005161503442722796,0.0017970743629371383
314162972,405,0.004180817788605465,0.009342321231328261,0.0035941487258742766
28820321,277,0.0028594729072684293,0.01220179413859669,0.005391223088811415
1432477,252,0.0026013977351322893,0.014803191873728978,0.007188297451748553
156158778,214,0.0022091234734853567,0.017012315347214334,0.008985371814685691
33889201,210,0.0021678314459435744,0.01918014679315791,0.01078244617762283
228928499,139,0.0014348979570769373,0.020615044750234846,0.012579520540559967
185324181,138,0.0014245749501914917,0.02203961970042634,0.014376594903497106
124359784,126,0.0013006988675661447,0.02334031856799248,0.016173669266434244
83740964,121,0.0012490838331389168,0.0245894024011314,0.017970743629371382
569524331,119,0.0012284378193680254,0.025817840220499426,0.01976781799230852
439074505,116,0.0011974687987116887,0.027015309019211113,0.02156489235524566
30253178,113,0.001166499778055352,0.028181808797266464,0.023361966718182796
74167394,109,0.0011252077505135695,0.029307016547780035,0.025159041081119934
509948385,109,0.0011252077505135695,0.030432224298293606,0.02695611544405708
215357262,108,0.001114884743628124,0.03154710904192173,0.028753189806994213
89355192,104,0.0010735927160863416,0.03262070175800807,0.03055026416993135
538103588,103,0.001063269709200896,0.033683971467208966,0.03234733853286849
678046097,101,0.001042623695430005,0.03472659516263897,0.03414441289580563
9063235,98,0.001011654674773668,0.03573824983741264,0.035941487258742764
575347835,98,0.001011654674773668,0.03674990451218631,0.037738561621679906
105564995,95,0.0009806856541173313,0.03773059016630364,0.03953563598461704
11515631,95,0.0009806856541173313,0.03871127582042097,0.04133271034755418
7701687,93,0.0009600396403464401,0.03967131546076741,0.04312978471049132
131418248,92,0.0009497166334609946,0.040621032094228404,0.04492685907342846
590452007,91,0.0009393936265755489,0.041560425720803956,0.04672393343636559
652923171,87,0.0008981015990337666,0.04245852731983772,0.04852100779930274
92967793,86,0.0008877785921483209,0.043346305911986044,0.05031808216223987
19826493,84,0.0008671325783774298,0.04421343849036347,0.052115156525177016
519945528,84,0.0008671325783774298,0.0450805710687409,0.05391223088811416
146594021,81,0.000836163557721093,0.045916734626461994,0.05570930525105129
444801189,79,0.0008155175439502018,0.04673225217041219,0.057506379613988426
10961046,79,0.0008155175439502018,0.04754776971436239,0.05930345397692557
23234040,78,0.0008051945370647562,0.04835296425142715,0.0611005283398627
335584268,78,0.0008051945370647562,0.049158158788491904,0.06289760270279984
77453810,76,0.000784548523293865,0.04994270731178577,0.06469467706573698
252303991,76,0.000784548523293865,0.05072725583507963,0.06649175142867413
110250725,71,0.0007329334888666371,0.05146018932394627,0.06828882579161126
47609036,70,0.0007226104819811914,0.05218279980592746,0.0700859001545484
682491797,70,0.0007226104819811914,0.05290541028790865,0.07188297451748553
529189406,70,0.0007226104819811914,0.05362802076988984,0.07368004888042268
452011269,68,0.0007019644682103003,0.05432998523810014,0.07547712324335981
42653212,68,0.0007019644682103003,0.055031949706310444,0.07727419760629695
21083998,68,0.0007019644682103003,0.05573391417452075,0.07907127196923408
57989340,67,0.0006916414613248547,0.0564255556358456,0.08086834633217123
20001519,66,0.0006813184544394092,0.05710687409028501,0.08266542069510836
