dimension,n_rated,null_count,null_pct,mean,median,std,p10,p25,p75,p90,min,max
Rating,72749,24122,24.9,4.6847,4.83,0.4942,4.2,4.58,5.0,5.0,0.0,5.0
Accuracy,72734,24137,24.9,4.7255,4.88,0.4798,4.33,4.67,5.0,5.0,0.0,5.0
Cleanliness,72740,24131,24.9,4.65,4.81,0.5165,4.03,4.51,5.0,5.0,0.0,5.0
Checkin,72706,24165,24.9,4.7903,4.93,0.4301,4.5,4.76,5.0,5.0,0.0,5.0
Communication,72729,24142,24.9,4.8123,4.96,0.4259,4.5,4.8,5.0,5.0,0.0,5.0
Location,72705,24166,24.9,4.7298,4.85,0.4097,4.33,4.65,5.0,5.0,0.0,5.0
Value,72705,24166,24.9,4.6162,4.75,0.5118,4.06,4.5,4.94,5.0,0.0,5.0
number_of_reviews (count),96871,0,0.0,21.66,5.0,50.37,0.0,1.0,20.0,57.0,0.0,1902.0
reviews_per_month_calc (rate),72749,24122,24.9,0.6364,0.1667,1.1138,0.0,0.0,0.75,1.8333,0.0,32.5
