id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
727626,Hackney,entire_home,apartment,122.0,66,4.38,4.3,4.6,Small (2–5),1.0
751412,Camden,private_room,apartment,61.0,38,4.39,4.54,4.62,Small (2–5),0.91
755127,Kensington and Chelsea,entire_home,apartment,143.0,83,4.55,4.5,4.77,Single (1),1.0
763638,Westminster,private_room,apartment,,158,4.48,4.73,4.6,Commercial (21+),0.9
766496,Southwark,entire_home,apartment,131.0,42,4.55,4.79,4.76,Single (1),1.0
797036,Hackney,entire_home,apartment,67.0,143,4.42,4.29,4.9,Single (1),1.0
801353,Tower Hamlets,entire_home,apartment,121.0,43,4.56,4.31,4.83,Small (2–5),
804885,Camden,entire_home,apartment,198.0,81,4.51,4.37,4.8,Small (2–5),1.0
805005,Islington,entire_home,apartment,127.0,95,4.54,4.63,4.7,Small (2–5),1.0
810126,Ealing,entire_home,apartment,100.0,66,4.51,4.27,4.97,Professional (6–20),1.0
810314,Ealing,entire_home,apartment,99.0,82,4.54,4.24,4.81,Professional (6–20),1.0
817963,Ealing,entire_home,apartment,168.0,28,4.39,4.29,4.85,Professional (6–20),0.93
836442,Ealing,entire_home,apartment,80.0,77,4.54,4.3,4.81,Professional (6–20),1.0
872512,Croydon,private_room,apartment,,31,4.58,4.87,4.87,Small (2–5),1.0
873154,Hackney,private_room,house,,26,4.12,4.36,4.16,Small (2–5),
875754,Enfield,entire_home,house,173.0,36,4.46,4.31,4.78,Small (2–5),0.5
878749,Hammersmith and Fulham,entire_home,apartment,136.0,71,4.58,4.19,4.81,Small (2–5),1.0
891125,Kensington and Chelsea,entire_home,apartment,241.0,152,4.44,4.4,4.84,Small (2–5),0.8
920932,Croydon,private_room,house,27.0,43,4.28,4.12,4.63,Small (2–5),1.0
941492,Lambeth,private_room,apartment,54.0,102,4.53,4.33,4.69,Single (1),1.0
957938,Westminster,entire_home,apartment,618.0,25,4.44,4.4,4.64,Small (2–5),1.0
960280,Hackney,private_room,house,,39,4.32,4.68,4.37,Small (2–5),
964547,Richmond upon Thames,private_room,house,61.0,53,4.47,4.6,4.85,Small (2–5),1.0
964560,Richmond upon Thames,private_room,house,61.0,46,4.56,4.76,4.8,Small (2–5),1.0
973332,Haringey,private_room,apartment,77.0,79,4.54,4.54,4.75,Single (1),1.0
983555,Waltham Forest,entire_home,house,264.0,39,4.42,4.13,4.51,Professional (6–20),0.93
1011777,Camden,private_room,apartment,60.0,87,4.55,4.48,4.77,Small (2–5),1.0
1011983,Southwark,entire_home,house,80.0,122,4.55,4.8,4.8,Small (2–5),1.0
1015806,Southwark,entire_home,house,110.0,128,4.52,4.73,4.75,Small (2–5),1.0
1043759,Westminster,private_room,apartment,,183,4.45,4.39,4.85,Small (2–5),1.0
1044356,Camden,entire_home,apartment,113.0,45,4.36,4.7,4.8,Small (2–5),1.0
1099728,Kensington and Chelsea,entire_home,apartment,,42,4.45,4.2,4.63,Small (2–5),1.0
1103795,Brent,private_room,house,40.0,405,4.43,4.43,4.73,Small (2–5),1.0
1109914,Brent,private_room,house,38.0,349,4.39,4.29,4.75,Small (2–5),1.0
1123121,Camden,entire_home,apartment,,290,4.44,4.48,4.75,Professional (6–20),1.0
1124320,Greenwich,private_room,apartment,,89,4.56,4.61,4.8,Small (2–5),1.0
1211331,Islington,private_room,house,61.0,97,4.57,4.57,4.78,Small (2–5),1.0
1217459,Westminster,entire_home,apartment,,38,4.16,3.92,4.68,Single (1),
1224556,Hackney,entire_home,apartment,,43,4.56,4.69,4.76,Single (1),
1234354,Ealing,private_room,apartment,48.0,122,4.54,4.71,4.72,Small (2–5),1.0
1234388,Kensington and Chelsea,entire_home,apartment,314.0,201,4.45,4.22,4.89,Small (2–5),1.0
1257858,Greenwich,private_room,apartment,43.0,102,4.52,4.46,4.78,Small (2–5),1.0
1266554,Tower Hamlets,private_room,apartment,,38,4.53,4.59,4.92,Professional (6–20),1.0
1282891,Kensington and Chelsea,entire_home,apartment,195.0,76,4.45,4.15,4.83,Single (1),0.0
1294039,Camden,entire_home,apartment,164.0,132,4.5,4.33,4.79,Single (1),1.0
1301149,Islington,entire_home,apartment,,67,4.57,4.12,4.84,Single (1),
1311837,Westminster,entire_home,apartment,236.0,175,4.56,4.65,4.79,Professional (6–20),0.71
1334961,Lambeth,entire_home,apartment,90.0,59,4.41,4.2,4.8,Single (1),
1336197,Southwark,entire_home,apartment,,166,4.48,4.56,4.87,Single (1),
1357673,Ealing,private_room,apartment,56.0,196,4.48,4.64,4.65,Small (2–5),1.0
1357846,Ealing,private_room,apartment,42.0,161,4.54,4.73,4.76,Small (2–5),1.0
1390326,Camden,entire_home,apartment,,80,4.56,4.27,4.84,Small (2–5),1.0
1477919,Haringey,private_room,house,35.0,92,4.55,4.73,4.83,Small (2–5),1.0
1532025,Camden,entire_home,apartment,95.0,129,4.53,4.6,4.81,Professional (6–20),1.0
1538921,Southwark,entire_home,apartment,,52,4.52,4.63,4.76,Professional (6–20),
1548874,Southwark,entire_home,apartment,83.0,347,4.49,4.47,4.64,Single (1),1.0
1563662,Camden,entire_home,apartment,,32,4.56,4.84,4.84,Single (1),
1581883,Kensington and Chelsea,entire_home,apartment,400.0,25,4.52,4.58,4.83,Small (2–5),1.0
1585716,Hammersmith and Fulham,entire_home,apartment,173.0,208,4.55,4.79,4.75,Commercial (21+),1.0
1646537,Westminster,private_room,apartment,60.0,210,4.38,4.27,4.81,Small (2–5),1.0
1653016,Westminster,private_room,apartment,59.0,25,4.38,4.7,4.77,Small (2–5),1.0
1750061,Hammersmith and Fulham,entire_home,apartment,,93,4.38,3.95,4.78,Single (1),
1759974,Richmond upon Thames,entire_home,apartment,86.0,80,4.46,4.32,4.82,Single (1),0.83
1798930,Camden,entire_home,apartment,83.0,196,4.46,4.5,4.84,Professional (6–20),1.0
1836379,Westminster,entire_home,apartment,359.0,105,4.43,4.4,4.69,Professional (6–20),0.5
1840605,Westminster,entire_home,apartment,,156,4.58,4.6,4.67,Commercial (21+),0.9
1853897,Westminster,entire_home,apartment,329.0,125,4.46,4.42,4.64,Professional (6–20),0.5
1973506,Camden,entire_home,apartment,79.0,201,4.46,4.42,4.82,Professional (6–20),1.0
2008413,Greenwich,entire_home,house,158.0,170,4.51,4.34,4.82,Single (1),1.0
2044274,Kensington and Chelsea,entire_home,apartment,,27,4.44,4.31,4.89,Single (1),
2046402,Camden,entire_home,apartment,,50,4.55,4.34,4.78,Single (1),0.6
2068365,Lewisham,entire_home,apartment,,20,4.2,3.8,4.45,Small (2–5),1.0
2077094,Westminster,entire_home,apartment,120.0,56,4.48,4.27,4.91,Single (1),1.0
2125974,Harrow,private_room,house,,43,4.58,4.51,4.79,Small (2–5),1.0
2157833,Waltham Forest,entire_home,apartment,110.0,86,4.58,4.68,4.8,Professional (6–20),1.0
2157875,Waltham Forest,entire_home,apartment,,74,4.39,4.49,4.55,Professional (6–20),1.0
2158844,Hackney,entire_home,apartment,88.0,216,4.37,4.23,4.75,Small (2–5),0.97
2164284,Hounslow,private_room,house,25.0,78,4.44,4.17,4.64,Small (2–5),0.1
2173666,Hackney,entire_home,apartment,310.0,62,4.45,4.53,4.77,Small (2–5),
2184602,Hammersmith and Fulham,entire_home,apartment,,78,4.55,4.64,4.9,Small (2–5),1.0
2192728,Southwark,entire_home,apartment,150.0,21,4.05,4.43,4.14,Single (1),0.8
2230069,Tower Hamlets,entire_home,apartment,207.0,79,4.47,4.56,4.8,Small (2–5),1.0
2253316,City of London,entire_home,apartment,180.0,85,4.46,4.59,4.63,Commercial (21+),0.99
2256434,Westminster,entire_home,apartment,,120,4.56,4.53,4.75,Commercial (21+),0.9
2369323,Waltham Forest,entire_home,apartment,88.0,34,4.44,4.32,4.53,Professional (6–20),1.0
2397634,Tower Hamlets,entire_home,apartment,,94,4.41,4.52,4.52,Single (1),
2421269,Hackney,entire_home,apartment,,34,4.56,4.53,4.91,Single (1),
2429809,Islington,entire_home,apartment,238.0,57,4.35,4.39,4.77,Small (2–5),
