response_rate_band,listing_count,superhost_rate,median_rating,median_price,median_occupancy
0–50%,5155,0.010495049504950496,4.82,104.0,0.26
51–80%,4092,0.11293532338308458,4.79,129.0,0.32
81–95%,8060,0.16977095393908884,4.73,147.0,0.33
96–100%,47857,0.3150564401905661,4.83,137.0,0.51
