tenure_band,listing_count,unique_hosts,median_price,median_rating,superhost_rate,median_portfolio,median_occupancy
New  (0-2 yr),3793,1442,95.0,4.73,0.19065420560747665,5.0,0.3
Established  (2-5 yr),6088,1668,114.0,4.69,0.16517395797450912,14.0,0.36
Experienced  (5-10 yr),9751,4695,111.0,4.78,0.22554890219560877,3.0,0.68
Veteran  (10+ yr),5368,2648,116.0,4.79,0.30007601672367923,3.0,0.64
