response_rate_band,listing_count,superhost_rate,median_rating,median_price,median_occupancy
0-50%,1471,0.020435967302452316,4.67,50.0,0.3
51-80%,1416,0.05878084179970972,4.63,86.5,0.26
81-95%,2366,0.1636904761904762,4.73,120.0,0.5
96-100%,14862,0.3309377616522467,4.76,116.0,0.38
