month,median_min_nights,mean_min_nights,pct_longstay
2025-09-01,2.0,9.92,16.76
2025-10-01,2.0,10.44,17.39
2025-11-01,3.0,10.82,17.84
2025-12-01,3.0,11.12,18.22
2026-01-01,3.0,11.32,18.72
2026-02-01,3.0,11.37,19.03
2026-03-01,3.0,11.43,19.15
2026-04-01,3.0,11.41,19.17
2026-05-01,3.0,11.45,19.18
2026-06-01,3.0,11.08,19.05
2026-07-01,3.0,11.05,19.03
2026-08-01,3.0,11.02,18.98
2026-09-01,3.0,11.06,18.92
