dist_band,listing_count,median_price,mean_price,p75
0-2 km,9807,128.0,181.0,187.0
2-5 km,6000,100.0,143.0,147.0
5-10 km,2827,80.0,104.0,118.0
10-20 km,319,88.0,129.0,119.0
