k,inertia,inertia_pct_drop,silhouette
2,70114.6,,0.1904
3,60961.4,13.05,0.1756
4,56197.7,7.81,0.1689
5,51731.0,7.95,0.1683
6,47327.6,8.51,0.1837
7,44138.5,6.74,0.1771
8,42370.7,4.01,0.1722
9,40764.6,3.79,0.1732
10,39277.5,3.65,0.1595
