price_band,n,mae,median_error,median_residual,pct_within_20,pct_over_pred
luxury (700+),26,1026.96,326.61,326.61,19.2,7.7
premium (350-700),192,114.55,103.79,76.76,45.8,25.0
mid (175-350),554,50.36,35.59,0.27,63.4,49.8
economy (100-175),269,41.37,28.77,-22.5,46.8,74.0
budget (<100),76,31.46,18.25,-17.68,44.7,78.9
