model,test_mae,test_rmse,test_mape,test_r2,within_20pct
Global median baseline,126.25,519.11,73.01,-0.0175,21.5
Room-type median baseline,108.95,513.86,44.66,0.003,30.4
Ridge,165.89,8784.38,78.01,-290.3485,42.2
Random Forest,80.35,488.45,29.99,0.0992,47.0
Gradient Boosting,77.56,485.76,27.95,0.1091,50.2
