feature,mean_abs_shap,mean_shap
accommodates,0.14582324537128075,-0.007518439289510102
bedrooms,0.09317261758482591,-0.004711940562649467
neighbourhood_cleansed,0.07707091966239756,-0.003006866193895721
availability_365,0.07498563202571386,0.005226521520115979
longitude,0.06741253408129365,-0.0023773293471557265
room_type_private_room,0.0672613110942311,0.002052999305635982
reviews_per_month_calc,0.046500813254103525,-0.0019107166225732876
latitude,0.04384751991307635,-0.003928475478106428
has_tv,0.029200268569194106,-0.0010759277158134233
room_type_entire_home,0.02786942200366289,-0.008375864172064545
amenity_count,0.02517852528759506,0.0013599708897102088
number_of_reviews,0.02438618172006652,0.0008412686470618098
review_scores_cleanliness,0.024276493718027047,0.00024372152127861816
bathroom_count,0.022506330388107655,-0.005033593439803343
minimum_nights,0.022392296908920452,0.002715769973514075
review_scores_location,0.021961406893083547,-0.0008284459170290362
has_air_conditioning,0.02178849975405082,0.0025631900715781157
review_scores_rating,0.020545106110446354,0.004717838723974899
host_tenure_years,0.01841003771354103,-0.0021977209498655545
bathroom_is_shared,0.01598506580745568,0.002746074768018841
has_bathtub,0.014220432464011768,-0.0005671405505631237
host_response_rate,0.013675820226121873,-0.0017073068523565515
has_dishwasher,0.010386154702187365,-0.0014240269109968245
calculated_host_listings_count,0.008682392926213688,-0.0014184996574690956
beds_per_guest,0.008496814048482166,0.0008129630051128277
beds,0.008394390170371116,-0.00024496485565474234
property_type_bucket_apartment,0.00818427438031041,0.0011189570167013509
instant_bookable,0.005754744967164846,-0.0013520363441334201
host_is_superhost,0.0050903699352038935,0.0012393207105264722
has_wifi,0.00482980706348271,0.0013843507164819104
has_workspace,0.003952274553315066,4.998959424487125e-05
property_type_bucket_house,0.003743391012148456,0.00033070762934523117
has_kitchen,0.0037197746095286094,-0.0008046077667287543
has_gym,0.003667789415450129,-0.0022559687328187615
has_parking,0.003103986057324923,-0.00030853886678231174
has_washer,0.0022257922749889456,-0.00016822415169610297
room_type_hotel_room,0.0019292374419996525,-0.0016396034198411487
property_type_bucket_unique,0.0018910412400124422,-7.912951069387272e-05
property_type_bucket_hotel,0.0016833868613632926,0.00025710498413280365
has_elevator,0.0012770943358553757,0.00020566607595555371
property_type_bucket_other,0.0005539333685202484,0.00017037420707728825
has_pool,0.0001628009723188711,2.9810634969791886e-05
room_type_shared_room,1.2614837334290365e-05,4.7668548197644945e-07
