feature,importance_mean,importance_std
room_type,0.10154861266893297,0.0017401939977456297
accommodates,0.06242107509564095,0.0015914392239679128
neighbourhood_cleansed,0.043889131864235334,0.0011787956487280392
latitude,0.033224666467706776,0.0008272682489730061
bedrooms,0.028892717750984735,0.0009742316821095548
longitude,0.02717964403640628,0.0007567949477664217
availability_365,0.024655874440818716,0.0009621040408990651
bathroom_count,0.023825109083059473,0.0005316521451599992
reviews_per_month_calc,0.013028945264489122,0.0005762527546325001
bathroom_is_shared,0.012165280578117724,0.0004082932265150933
host_response_rate,0.007258640688186483,0.0005781712944987899
has_dishwasher,0.006791189030097578,0.00027822583196424934
review_scores_location,0.005963716047656668,0.00030318988362254594
review_scores_cleanliness,0.004277658782710765,0.00039010221744730726
amenity_count,0.003914148629414782,0.00023941086961270011
has_air_conditioning,0.003640102026056402,0.0003189417745034428
minimum_nights,0.003261837641909404,0.00019644044429491386
calculated_host_listings_count,0.0032354436990724897,0.0005453856841977485
host_tenure_years,0.0030551576086054228,0.0003969814961734081
number_of_reviews,0.0029854895529167276,0.000251257299365845
has_tv,0.002676243152817015,0.00032022464323124824
property_type_bucket,0.0026612068831287196,0.0001867765103526398
review_scores_rating,0.0023716137265363296,0.0002873711660549138
has_elevator,0.0015725385275813279,0.00011078401571213669
host_is_superhost,0.0014249055560341469,0.00010149498121504144
beds,0.0007906301942820344,0.0001314777599211271
instant_bookable,0.0006483407334370473,0.0002629934394745576
has_pool,0.0005805751908982507,9.221641070863407e-05
has_gym,0.00055904613588732,0.00011570668751452532
beds_per_guest,0.00034341723790326517,0.00012840238272542344
has_parking,0.00015373595117379086,5.5954948244773555e-05
has_bathtub,8.310424256728899e-05,4.434857209092835e-05
has_kitchen,6.813321573384545e-05,3.506383917170824e-05
has_washer,-2.4370098236004e-05,7.947405243125814e-05
has_wifi,-6.315782076623162e-05,5.2835827521373005e-05
has_workspace,-8.695572574405342e-05,8.227758214444391e-05
