k,inertia,inertia_pct_drop,silhouette
2,118907.9,,0.1525
3,107036.0,9.98,0.1495
4,97555.7,8.86,0.1604
5,88906.8,8.87,0.1715
6,83117.6,6.51,0.1546
7,78077.1,6.06,0.1533
8,73727.9,5.57,0.1639
