cluster,n,median_listing_count,mean_listing_count,median_avg_price,mean_avg_price,pct_superhost,mean_tenure,mean_response_rate,mean_acceptance_rate,mean_availability,mean_rating,mean_reviews_per_month,mean_accommodates,mean_pct_entire_home,mean_neighbourhood_count,pct_of_city,cluster_name
0,1270,1.0,1.871,160.0,205.55,65.1,8.728,0.974,0.936,165.728,4.803,2.828,2.505,23.662,1.077,13.8,Active Superhost Operators
1,7931,1.0,1.022,225.0,272.242,6.5,9.507,0.943,0.663,70.816,4.881,0.23,2.996,97.478,1.006,86.2,Part-Time Apartment Hosts
