k,inertia,inertia_pct_drop,silhouette
2,455740.3,,0.1901
3,415967.3,8.73,0.1514
4,380778.3,8.46,0.1673
5,349288.1,8.27,0.1512
6,320752.9,8.17,0.1602
7,298480.2,6.94,0.159
8,284298.2,4.75,0.1482
9,271627.6,4.46,0.1459
10,262156.0,3.49,0.1411
