k,inertia,inertia_pct_drop,silhouette
2,144655.9,,0.1545
3,129974.8,10.15,0.122
4,117919.2,9.28,0.1456
5,107971.6,8.44,0.1551
6,99954.8,7.42,0.1502
7,94318.9,5.64,0.1484
8,90498.9,4.05,0.1497
9,87021.3,3.84,0.1444
10,83617.7,3.91,0.1477
