k,inertia,inertia_pct_drop,silhouette
2,102353.6,,0.3664
3,92972.7,9.17,0.2483
4,86394.0,7.08,0.2219
5,80387.2,6.95,0.2286
6,75585.3,5.97,0.1385
7,70619.7,6.57,0.2365
8,66488.8,5.85,0.1603
