k,inertia,inertia_pct_drop,silhouette
2,639227.1,,0.1522
3,576121.2,9.87,0.266
4,517434.3,10.19,0.17
5,465314.2,10.07,0.1886
6,433966.6,6.74,0.1828
7,408809.1,5.8,0.1893
8,388113.8,5.06,0.1773
