k,inertia,inertia_pct_drop,silhouette
2,43652.1,,0.1943
3,39253.7,10.08,0.1803
4,36393.6,7.29,0.187
5,33873.1,6.93,0.156
6,31441.5,7.18,0.1613
7,29448.1,6.34,0.1701
8,27910.6,5.22,0.1705
9,26630.8,4.59,0.1737
10,25539.4,4.1,0.1713
