model,mae,rmse,mape,r2_currency,r2_log,within_20pct,mae_vs_in_domain
Amsterdam model (in-domain),80.68,425.84,25.28,0.1371,0.6172,54.1,0.0
London model (cross-city),175.41,478.89,56.17,-0.0912,-2.0582,3.2,94.73
