id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
51477304,De Baarsjes - Oud-West,private_room,hotel,125.0,67,4.63,4.7,4.85,multi,1.0
51572428,Centrum-West,private_room,house,95.0,69,4.57,4.41,4.7,solo,1.0
51999409,Centrum-Oost,private_room,hotel,158.0,40,4.73,4.83,4.8,multi,1.0
52230621,Noord-West,private_room,hotel,130.0,128,4.76,4.79,4.83,multi,1.0
52231889,Geuzenveld - Slotermeer,entire_home,house,273.0,52,4.6,4.62,4.52,professional,1.0
52630801,Centrum-West,private_room,hotel,202.0,105,4.74,4.72,4.69,solo,1.0
52703709,De Baarsjes - Oud-West,private_room,hotel,,312,4.6,4.72,4.47,solo,1.0
52927383,De Baarsjes - Oud-West,private_room,hotel,158.0,35,4.77,4.83,4.77,solo,
53267102,Centrum-West,private_room,apartment,,91,4.49,4.58,4.51,solo,
53390946,De Baarsjes - Oud-West,private_room,hotel,299.0,58,4.57,4.72,4.71,professional,0.93
53391440,De Baarsjes - Oud-West,private_room,hotel,329.0,44,4.52,4.55,4.64,professional,0.93
53629389,Centrum-West,entire_home,apartment,249.0,195,4.58,4.65,4.73,multi,0.96
53669920,Centrum-West,entire_home,apartment,235.0,89,4.7,4.71,4.78,solo,1.0
54043086,Westerpark,private_room,other,157.0,263,4.67,4.59,4.9,solo,1.0
54071180,Centrum-Oost,private_room,apartment,,129,4.5,4.52,4.82,solo,1.0
543972624373040318,Oostelijk Havengebied - Indische Buurt,private_room,apartment,254.0,89,4.75,4.75,4.98,solo,1.0
548208029251203092,Centrum-Oost,private_room,apartment,75.0,327,4.72,4.82,4.88,professional,0.99
548911617846906974,De Baarsjes - Oud-West,entire_home,apartment,139.0,89,4.74,4.64,4.88,solo,1.0
561997609077687306,Centrum-West,private_room,other,262.0,173,4.79,4.85,4.97,solo,1.0
575083882544272867,Bijlmer-Centrum,private_room,apartment,91.0,277,4.55,4.48,4.83,multi,1.0
586806999898875589,Centrum-Oost,private_room,hotel,,32,3.78,3.34,4.44,professional,0.95
598364660031591022,Centrum-West,private_room,apartment,198.0,177,4.63,4.51,4.69,solo,0.92
600546428941251893,Oud-Noord,entire_home,apartment,229.0,46,4.35,4.41,4.46,professional,1.0
601244188326151661,Centrum-West,private_room,apartment,174.0,234,4.53,4.45,4.64,solo,1.0
606427189986295048,Centrum-Oost,private_room,apartment,71.0,166,4.43,4.52,4.75,professional,0.99
