dist_band,listing_count,median_price,mean_price,p75
0-2km,2171,241.0,302.52,350.5
2-5km,3263,217.0,376.17,298.0
5-10km,419,157.0,217.24,234.5
10-15km,21,113.0,144.71,200.0
