host_id,listing_count,listing_share,cumulative_share,host_pct
4248038,3,0.000286,0.091031,0.01652
4142666,3,0.000286,0.091317,0.016629
486429198,3,0.000286,0.091603,0.016737
6507475,3,0.000286,0.091889,0.016846
93743075,3,0.000286,0.092176,0.016955
96890675,3,0.000286,0.092462,0.017063
99355470,3,0.000286,0.092748,0.017172
101490730,3,0.000286,0.093034,0.017281
117820649,3,0.000286,0.093321,0.017389
120036005,3,0.000286,0.093607,0.017498
136643553,3,0.000286,0.093893,0.017607
151062320,3,0.000286,0.094179,0.017715
151414609,3,0.000286,0.094466,0.017824
154892883,3,0.000286,0.094752,0.017933
551207651,3,0.000286,0.095038,0.018042
159112610,3,0.000286,0.095324,0.01815
194622709,3,0.000286,0.095611,0.018259
209920138,3,0.000286,0.095897,0.018368
122700737,3,0.000286,0.096183,0.018476
58428526,3,0.000286,0.096469,0.018585
1334704,3,0.000286,0.096756,0.018694
93677584,3,0.000286,0.097042,0.018802
3110105,3,0.000286,0.097328,0.018911
561156498,3,0.000286,0.097615,0.01902
9462022,3,0.000286,0.097901,0.019128
707698410,3,0.000286,0.098187,0.019237
568048648,3,0.000286,0.098473,0.019346
5972379,3,0.000286,0.09876,0.019454
576071459,3,0.000286,0.099046,0.019563
578822209,3,0.000286,0.099332,0.019672
579601181,3,0.000286,0.099618,0.01978
26843240,3,0.000286,0.099905,0.019889
74020496,3,0.000286,0.100191,0.019998
77540373,3,0.000286,0.100477,0.020107
18482089,3,0.000286,0.100763,0.020215
12782398,3,0.000286,0.10105,0.020324
75415761,3,0.000286,0.101336,0.020433
3523553,3,0.000286,0.101622,0.020541
12784049,3,0.000286,0.101908,0.02065
302940677,3,0.000286,0.102195,0.020759
43614335,3,0.000286,0.102481,0.020867
3877342,3,0.000286,0.102767,0.020976
692757122,3,0.000286,0.103053,0.021085
3997123,3,0.000286,0.10334,0.021193
697642796,3,0.000286,0.103626,0.021302
698662358,3,0.000286,0.103912,0.021411
314064340,3,0.000286,0.104198,0.021519
808981,3,0.000286,0.104485,0.021628
6127483,3,0.000286,0.104771,0.021737
6870134,3,0.000286,0.105057,0.021845
4781137,3,0.000286,0.105344,0.021954
704743948,3,0.000286,0.10563,0.022063
27323708,2,0.000191,0.105821,0.022172
6273312,2,0.000191,0.106011,0.02228
5646154,2,0.000191,0.106202,0.022389
14012819,2,0.000191,0.106393,0.022498
1029291,2,0.000191,0.106584,0.022606
24979780,2,0.000191,0.106775,0.022715
32659450,2,0.000191,0.106966,0.022824
29268751,2,0.000191,0.107156,0.022932
2238440,2,0.000191,0.107347,0.023041
35306712,2,0.000191,0.107538,0.02315
25045762,2,0.000191,0.107729,0.023258
18933392,2,0.000191,0.10792,0.023367
12690109,2,0.000191,0.108111,0.023476
4978942,2,0.000191,0.108302,0.023584
5712107,2,0.000191,0.108492,0.023693
3015785,2,0.000191,0.108683,0.023802
6849979,2,0.000191,0.108874,0.02391
25069604,2,0.000191,0.109065,0.024019
31817443,2,0.000191,0.109256,0.024128
3713242,2,0.000191,0.109447,0.024236
2313061,2,0.000191,0.109637,0.024345
8648444,2,0.000191,0.109828,0.024454
5037506,2,0.000191,0.110019,0.024563
13413671,2,0.000191,0.11021,0.024671
19562807,2,0.000191,0.110401,0.02478
23886273,2,0.000191,0.110592,0.024889
20779008,2,0.000191,0.110782,0.024997
14122005,2,0.000191,0.110973,0.025106
15472410,2,0.000191,0.111164,0.025215
21389950,2,0.000191,0.111355,0.025323
10516711,2,0.000191,0.111546,0.025432
39423829,2,0.000191,0.111737,0.025541
40146138,2,0.000191,0.111927,0.025649
40424273,2,0.000191,0.112118,0.025758
41130076,2,0.000191,0.112309,0.025867
43958582,2,0.000191,0.1125,0.025975
44051824,2,0.000191,0.112691,0.026084
44770262,2,0.000191,0.112882,0.026193
45267217,2,0.000191,0.113073,0.026301
45969455,2,0.000191,0.113263,0.02641
46433878,2,0.000191,0.113454,0.026519
47362292,2,0.000191,0.113645,0.026628
47389074,2,0.000191,0.113836,0.026736
48388216,2,0.000191,0.114027,0.026845
48480883,2,0.000191,0.114218,0.026954
48703385,2,0.000191,0.114408,0.027062
49078267,2,0.000191,0.114599,0.027171
49176032,2,0.000191,0.11479,0.02728
50300599,2,0.000191,0.114981,0.027388
52048755,2,0.000191,0.115172,0.027497
52301883,2,0.000191,0.115363,0.027606
52417797,2,0.000191,0.115553,0.027714
52423702,2,0.000191,0.115744,0.027823
52628502,2,0.000191,0.115935,0.027932
52851370,2,0.000191,0.116126,0.02804
53465952,2,0.000191,0.116317,0.028149
53692197,2,0.000191,0.116508,0.028258
54036035,2,0.000191,0.116698,0.028366
57378136,2,0.000191,0.116889,0.028475
57628084,2,0.000191,0.11708,0.028584
59203614,2,0.000191,0.117271,0.028693
59759074,2,0.000191,0.117462,0.028801
61302884,2,0.000191,0.117653,0.02891
62672533,2,0.000191,0.117844,0.029019
63841431,2,0.000191,0.118034,0.029127
64761891,2,0.000191,0.118225,0.029236
66377477,2,0.000191,0.118416,0.029345
67046252,2,0.000191,0.118607,0.029453
67729845,2,0.000191,0.118798,0.029562
68386568,2,0.000191,0.118989,0.029671
68725397,2,0.000191,0.119179,0.029779
68884555,2,0.000191,0.11937,0.029888
69363456,2,0.000191,0.119561,0.029997
69422882,2,0.000191,0.119752,0.030105
72052828,2,0.000191,0.119943,0.030214
73131569,2,0.000191,0.120134,0.030323
74646936,2,0.000191,0.120324,0.030431
76572471,2,0.000191,0.120515,0.03054
81258508,2,0.000191,0.120706,0.030649
81648859,2,0.000191,0.120897,0.030758
83715071,2,0.000191,0.121088,0.030866
85100740,2,0.000191,0.121279,0.030975
85420364,2,0.000191,0.121469,0.031084
90473374,2,0.000191,0.12166,0.031192
91816760,2,0.000191,0.121851,0.031301
3786292,2,0.000191,0.122042,0.03141
7399322,2,0.000191,0.122233,0.031518
93989616,2,0.000191,0.122424,0.031627
3788673,2,0.000191,0.122615,0.031736
37658666,2,0.000191,0.122805,0.031844
2377188,2,0.000191,0.122996,0.031953
99642871,2,0.000191,0.123187,0.032062
33381838,2,0.000191,0.123378,0.03217
102064815,2,0.000191,0.123569,0.032279
105621738,2,0.000191,0.12376,0.032388
711168278,2,0.000191,0.12395,0.032496
107448990,2,0.000191,0.124141,0.032605
108755153,2,0.000191,0.124332,0.032714
114672005,2,0.000191,0.124523,0.032823
115026554,2,0.000191,0.124714,0.032931
116223810,2,0.000191,0.124905,0.03304
