dimension,n_rated,null_count,null_pct,mean,median,std,p10,p25,p75,p90,min,max
Rating,9383,1097,10.5,4.8441,4.92,0.2579,4.59,4.79,5.0,5.0,1.0,5.0
Accuracy,9383,1097,10.5,4.8533,4.92,0.2516,4.65,4.8,5.0,5.0,1.0,5.0
Cleanliness,9382,1098,10.5,4.7778,4.87,0.3179,4.45,4.69,5.0,5.0,1.0,5.0
Checkin,9383,1097,10.5,4.8941,4.97,0.2152,4.71,4.87,5.0,5.0,1.0,5.0
Communication,9383,1097,10.5,4.9071,5.0,0.2167,4.75,4.9,5.0,5.0,1.0,5.0
Location,9383,1097,10.5,4.817,4.89,0.2317,4.5,4.73,5.0,5.0,2.0,5.0
Value,9383,1097,10.5,4.6539,4.71,0.3235,4.32,4.53,4.85,5.0,1.0,5.0
number_of_reviews (count),10480,0,0.0,47.8134,10.0,131.5074,0.0,3.0,30.0,115.0,0.0,5097.0
reviews_per_month_calc (rate),9383,1097,10.5,0.7993,0.1667,2.2038,0.0,0.0,0.5833,2.4167,0.0,79.0833
