tenure_band,listing_count,unique_hosts,median_price,median_rating,superhost_rate,median_portfolio,median_occupancy
New  (0-2 yr),584,377,213.0,4.87,0.16551724137931034,1.0,0.72
Established  (2-5 yr),941,750,232.0,4.89,0.20300751879699247,1.0,0.82
Experienced  (5-10 yr),3818,3303,222.0,4.93,0.19026077700904737,1.0,0.93
Veteran  (10+ yr),5137,4771,222.0,4.92,0.16915227629513344,1.0,0.98
