month,review_count,active_listings,reviews_per_active_listing
2024-08-01,41909,17209,2.44
2024-09-01,38901,15956,2.44
2024-10-01,41975,16042,2.62
2024-11-01,38034,15107,2.52
2024-12-01,44774,18339,2.44
2025-01-01,31258,15692,1.99
2025-02-01,29949,13119,2.28
2025-03-01,38282,15434,2.48
2025-04-01,44737,18953,2.36
2025-05-01,50066,20072,2.49
2025-06-01,62356,23796,2.62
2025-07-01,70916,27101,2.62
2025-08-01,62163,25448,2.44
2025-09-01,16402,10985,1.49
